Plot;Subsite
1;JLSP
2;JLSP
3;JLSP
4;JLSP
5;JLSP
6;JLSP
7;JLSP
8;JLSP
9;JLSP
10;JLSP
11;JLSP
12;JLSP
13;JLSP
14;JLSP
15;JLSP
16;JLSP
17;JLSP
18;JLSP
19;JLSP
20;JLSP
21;SDC
22;SDC
23;SDC
24;SDC
25;SDC
26;SDC
27;SDC
28;SDC
29;SDC
30;SDC
31;Ross
32;Ross
33;Ross
34;Ross
35;Ross
36;Ross
37;Ross
38;Ross
39;SPTSP
40;SPTSP
41;SPTSP
42;SPTSP
43;SPTSP
44;PilotKnob
45;PilotKnob
46;PilotKnob
47;PilotKnob
48;PilotKnob
49;PilotKnob
50;PilotKnob
51;Bon Temple
52;Bon Temple
53;Bon Temple
54;Bon Temple
55;Bon Temple
56;Bon Temple
57;Drive
58;Drive
59;Drive
60;Drive
61;Old Growth
62;Old Growth
63;Old Growth
65;Old Growth
66;Old Growth
67;Old Growth
68;Old Growth
69;Old Growth
70;Old Growth
71;Second Growth
72;Second Growth
73;Second Growth
74;Second Growth
75;Second Growth
76;Second Growth
77;Second Growth
78;Second Growth
79;Second Growth
80;Second Growth
81;BBSP
82;BBSP
83;BBSP
84;BBSP
85;BBSP
86;BBSP
87;BBSP
88;BBSP
89;BBSP
90;BBSP
91;Pfeiffer Falls
92;Pfeiffer Falls
93;Pfeiffer Falls
94;Pfeiffer Falls
95;Pfeiffer Falls
96;Pfeiffer Falls
97;Pfeiffer Falls
98;Buzzards Roost
99;Buzzards Roost
100;Buzzards Roost
101;Buzzards Roost
102;Buzzards Roost
103;Buzzards Roost
104;Partington
105;Partington
106;Partington
107;Partington
108;Buzzards Roost
109;Partington
110;Partington
111;Partington
112;Partington
113;Partington
114;McWay
115;McWay
116;McWay
117;McWay
118;McWay
119;McWay
120;McWay
