# These data are of tree census and sudden oak death infection from the
# Redwood Plot Network in California; collected by the 
# [Rizzo Lab](http://ucanr.edu/sites/rizzolab/) at UC Davis and compiled by 
# [Richard Cobb](mailto:rccobb@ucdavis.edu).
#
# Notes:
#
#-   3-4 tanoak had no dbh recorded. These are deleted from this set. If you 
#    notice an occasional omitted tree number; this is the cause.	
#-   DBH values were only collected in 2002
#-   Full census occurred in 2002 and 2007; observations of a subset in between
#-   Coordinates are in UTM; Zone 10
# Species Codes
# -------------
#
# ACMA	big leave maple	
# ARME	pacific madrone	
# COCO	california hazelnut	
# LIDE	tanoak	
# PSME	doughlas fir	
# QUAG	coast live oak	
# QUCH	canyon live oak	
# QUKE	california black oak	
# SESE	redwood	
# UMCA	california bay laurel
#
# Health Codes
# ------------
# 0 = Dead; not resprouting
# 1 = Healthy
# 2 = Unhealthy
# 3 = Almost dead
# 4 = Stem dead; but with live resprouts
# 5 = Missing
# 6 = Eliminated
#
Plot;Site;Easting;Northing;Tree;Species;Azimuth;Distance;Year;Health;Infected;DBH;Mortality;Status;Symptoms;Resprouting
1;Jack London State Park;539198;4245141;1;ACMA;212;2.4;2002;0;FALSE;4;1;Dead;No;0
1;Jack London State Park;539198;4245141;1;ACMA;212;2.4;2007;5;FALSE;;1;Missing;No;0
1;Jack London State Park;539198;4245141;2;UMCA;238;6.7;2002;1;TRUE;2.7;0;Alive;Yes;0
1;Jack London State Park;539198;4245141;2;UMCA;238;6.7;2007;1;FALSE;;0;Alive;Yes;0
1;Jack London State Park;539198;4245141;3;LIDE;243;11.9;2002;2;FALSE;3.8;0;Alive;No;0
1;Jack London State Park;539198;4245141;3;LIDE;243;11.9;2007;5;FALSE;;1;Missing;No;0
1;Jack London State Park;539198;4245141;4;UMCA;254;11.3;2002;2;TRUE;1.3;0;Alive;Yes;0
1;Jack London State Park;539198;4245141;4;UMCA;254;11.3;2007;5;FALSE;;1;Missing;No;0
1;Jack London State Park;539198;4245141;5;LIDE;264;9.2;2002;0;FALSE;1.6;1;Dead;Yes;0
1;Jack London State Park;539198;4245141;5;LIDE;264;9.2;2007;4;FALSE;;1;Dead w/Basal Sprouts;Yes;1
1;Jack London State Park;539198;4245141;6;UMCA;272;9.6;2002;1;FALSE;1;0;Alive;No;0
